"ДАТА","ТИП","СО СЧЁТА","НА СЧЁТ / НА КАТЕГОРИЮ","СУММА","ВАЛЮТА","СУММА 2","ВАЛЮТА 2","МЕТКИ","ЗАМЕТКИ"
"24.10.21","Расход","Kaspi Медет ","Такси (Транспорт)","400","KZT","400","KZT","",""
"24.10.21","Расход","Kaspi Медет ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"24.10.21","Расход","Kaspi Медет ","Уход за собой","1500","KZT","1500","KZT","","Стижка"
"24.10.21","Расход","Kaspi Медет ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"24.10.21","Расход","Наличные Медет ","Копилка","200","KZT","200","KZT","",""
"24.10.21","Расход","Наличные Медет ","Продукты","115","KZT","115","KZT","","Вода"
"24.10.21","Расход","Наличные Медет ","Продукты","165","KZT","165","KZT","","Хлеб "
"23.10.21","Расход","Kaspi Медет ","Такси (Транспорт)","160","KZT","160","KZT","",""
"23.10.21","Расход","Kaspi Медет ","Автобус (Транспорт)","160","KZT","160","KZT","",""
"22.10.21","Расход","Наличные Медет ","Необязательное (Продукты)","1000","KZT","1000","KZT","",""
"22.10.21","Расход","Kaspi Айкумiс ","Такси (Транспорт)","4000","KZT","4000","KZT","",""
"22.10.21","Расход","Kaspi Медет ","Продукты","775","KZT","775","KZT","","Береке"
"21.10.21","Расход","Kaspi Медет ","Уход за собой","160","KZT","160","KZT","","Туалетная бумага "
"21.10.21","Расход","Kaspi Медет ","Продукты","160","KZT","160","KZT","","Вода"
"21.10.21","Расход","Kaspi Медет ","Досуг","1500","KZT","1500","KZT","","Табак"
"21.10.21","Перевод","Kaspi Медет ","Наличные Медет ","2000","KZT","2000","KZT","",""
"21.10.21","Доход","Kaspi Медет ","Подработка","10000","KZT","10000","KZT","",""
"20.10.21","Расход","Kaspi Айкумiс ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"19.10.21","Расход","Kaspi Айкумiс ","Такси (Транспорт)","450","KZT","450","KZT","",""
"19.10.21","Расход","Halyk Айкумiс ","Досуг","2492","KZT","2492","KZT","","Боулинг "
"19.10.21","Расход","Kaspi Медет ","Продукты","460","KZT","460","KZT","","Обед"
"19.10.21","Расход","Kaspi Медет ","Машина (Покупки)","3000","KZT","3000","KZT","","Китайский магнитол"
"19.10.21","Расход","Kaspi Медет ","Общие (Платежи)","9043","KZT","9043","KZT","","Налог"
"19.10.21","Перевод","Kaspi Медет ","Кошелёк ","1100000","KZT","1100000","KZT","",""
"19.10.21","Доход","Kaspi Медет ","Разное","1120000","KZT","1120000","KZT","","Продажа машины"
"18.10.21","Перевод","Kaspi Медет ","Kaspi Айкумiс ","5000","KZT","5000","KZT","",""
"18.10.21","Расход","Kaspi Медет ","Личный транспорт (Транспорт)","1780","KZT","1780","KZT","","Заправка "
"18.10.21","Расход","Наличные Айкумiс ","Необходимое (Продукты)","200","KZT","200","KZT","","Вода"
"18.10.21","Расход","Kaspi Айкумiс ","Кафе","5000","KZT","5000","KZT","","Тарантино"
"18.10.21","Расход","Kaspi Медет ","Продукты","200","KZT","200","KZT","","Сок"
"17.10.21","Расход","Наличные Айкумiс ","Такси (Транспорт)","700","KZT","700","KZT","","Жулдыз"
"17.10.21","Доход","Kaspi Айкумiс ","Подарки","7000","KZT","7000","KZT","",""
"17.10.21","Расход","Kaspi Медет ","Разное (Покупки)","181.2","KZT","181.2","KZT","","Колеса"
"17.10.21","Расход","Kaspi Медет ","Здоровье","183","KZT","183","KZT","",""
"17.10.21","Расход","Kaspi Медет ","Необходимое (Продукты)","570","KZT","570","KZT","",""
"16.10.21","Расход","Наличные Айкумiс ","Подарки","20000","KZT","20000","KZT","","Мади Лаура"
"16.10.21","Перевод","Кошелёк ","Наличные Айкумiс ","20000","KZT","20000","KZT","",""
"16.10.21","Расход","Halyk Айкумiс ","Разное (Покупки)","210","KZT","210","KZT","","Конверты "
"16.10.21","Расход","Halyk Айкумiс ","Продукты","1082","KZT","1082","KZT","","Орехи "
"16.10.21","Расход","Halyk Айкумiс ","Необходимое (Продукты)","4090","KZT","4090","KZT","","Овощи"
"16.10.21","Расход","Наличные Айкумiс ","Необязательное (Продукты)","952","KZT","952","KZT","","Выпечка"
"16.10.21","Расход","Kaspi Медет ","Досуг","2800","KZT","2800","KZT","","Табак",""
"16.10.21","Расход","Kaspi Медет ","Продукты","986","KZT","986","KZT","","Орехи",""
"15.10.21","Расход","Сбербанк","Кредит (Платежи)","64157.17","KZT","64157.17","KZT","",""
"15.10.21","Расход","Halyk Айкумiс ","Продукты","3593","KZT","3593","KZT","","Солнечный "
"15.10.21","Расход","Halyk Айкумiс ","Необходимое (Продукты)","6295","KZT","6295","KZT","","Сити"
"15.10.21","Расход","Kaspi Айкумiс ","Необходимое (Продукты)","2177","KZT","2177","KZT","","Курица"
"15.10.21","Расход","Halyk Айкумiс ","Необходимое (Продукты)","3408","KZT","3408","KZT","","Фарш"
"15.10.21","Доход","Kaspi Медет ","Подработка","4500","KZT","4500","KZT","",""
"15.10.21","Расход","Halyk Айкумiс ","Здоровье","3050","KZT","3050","KZT","","Линзы"
"14.10.21","Расход","Kaspi Медет ","Продукты","200","KZT","200","KZT","","Вода"
"14.10.21","Расход","Kaspi Медет ","Досуг","810","KZT","810","KZT","","Пиво"
"14.10.21","Расход","Наличные Айкумiс ","Продукты","691","KZT","691","KZT","","Овощи",""
"14.10.21","Перевод","Kaspi Медет ","Kaspi Айкумiс ","2250","KZT","2250","KZT","",""
"14.10.21","Расход","Kaspi Медет ","Транспорт","2670","KZT","2670","KZT","","Заправка"
"14.10.21","Расход","Kaspi Медет ","Разное (Покупки)","2090","KZT","2090","KZT","","Кабель зарядный"
"13.10.21","Расход","Kaspi Айкумiс ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"13.10.21","Расход","Наличные Айкумiс ","Продукты","17427","KZT","17427","KZT","","Напитки"
"13.10.21","Расход","Kaspi Медет ","Необходимое (Продукты)","630","KZT","630","KZT","","Береке"
"13.10.21","Расход","Halyk Айкумiс ","Платежи","230","KZT","230","KZT","","Комиссия"
"13.10.21","Перевод","Halyk Айкумiс ","Наличные Айкумiс ","20000","KZT","20000","KZT","",""
"13.10.21","Расход","Halyk Айкумiс ","Продукты","160","KZT","160","KZT","","Вода"
"13.10.21","Расход","Kaspi Медет ","Уход за собой","3000","KZT","3000","KZT","","Ногти"
"12.10.21","Расход","Kaspi Медет ","Кафе","5000","KZT","5000","KZT","","Суши"
"12.10.21","Доход","Kaspi Медет ","Подработка","1600","KZT","1600","KZT","",""
"12.10.21","Расход","Kaspi Медет ","Досуг","3360","KZT","3360","KZT","","В кино"
"12.10.21","Расход","Kaspi Медет ","Досуг","1150","KZT","1150","KZT","","Табак"
"12.10.21","Перевод","Kaspi Медет ","Кошелёк ","20000","KZT","20000","KZT","",""
"11.10.21","Расход","Kaspi Айкумiс ","Автобус (Транспорт)","80","KZT","80","KZT","",""
"11.10.21","Расход","Halyk Медет","Общие (Платежи)","150","KZT","150","KZT","","Комиссия"
"11.10.21","Перевод","Halyk Медет","Kaspi Медет ","39850","KZT","39850","KZT","",""
"10.10.21","Расход","Halyk Айкумiс ","Необязательное (Продукты)","1430","KZT","1430","KZT","",""
"10.10.21","Расход","Halyk Айкумiс ","Личный транспорт (Транспорт)","3670","KZT","3670","KZT","","Заправка"
"10.10.21","Расход","Наличные Медет ","Необходимое (Продукты)","350","KZT","350","KZT","","Вода"
"09.10.21","Расход","Kaspi Медет ","Продукты","300","KZT","300","KZT","","Сок"
"09.10.21","Расход","Kaspi Медет ","Продукты","400","KZT","400","KZT","","Кофе"
"09.10.21","Расход","Kaspi Медет ","Продукты","420","KZT","420","KZT","","Семечки"
"09.10.21","Расход","Kaspi Медет ","Досуг","3529","KZT","3529","KZT","","Субботний вечер"
"09.10.21","Расход","Kaspi Медет ","Личный транспорт (Транспорт)","2100","KZT","2100","KZT","","Мойка"
"09.10.21","Доход","Kaspi Медет ","Подработка","4000","KZT","4000","KZT","",""
"08.10.21","Расход","Kaspi Айкумiс ","Автобус (Транспорт)","160","KZT","160","KZT","",""
"08.10.21","Расход","Наличные Айкумiс ","Необязательное (Продукты)","204","KZT","204","KZT","",""
"08.10.21","Расход","Kaspi Медет ","Досуг","792","KZT","792","KZT","","Напитки"
